Date,Accommodation and Food Services,Admin & Waste Svcs,Agriculture,Arts & Recreation,Construction,Education,Finance,Health Care,Technology,Mgmt Companies,Manufacturing,Mining & Oil,Other Services,Professional Svcs,Public Admin,Real Estate,Retail,Transportation,Utilities,Wholesale
2023-01-01,3.49,6.34,6.25,4.92,2.36,5.57,5.57,4.24,8.0,2.17,4.58,4.55,2.94,6.86,4.55,2.54,2.66,4.38,0.0,3.32
2023-02-01,4.05,7.06,3.45,4.93,3.66,6.23,6.07,5.47,9.88,4.26,6.39,8.7,4.47,7.14,4.55,4.59,2.75,3.98,0.0,2.32
2023-03-01,5.77,10.54,2.78,5.8,5.98,9.75,10.64,7.63,15.38,3.09,9.57,4.17,6.93,11.74,4.35,8.18,5.83,5.73,2.38,5.83
2023-04-01,7.25,13.89,4.88,4.67,5.11,11.01,13.22,7.67,19.02,4.9,10.23,7.41,5.9,15.22,8.33,8.42,6.33,7.5,8.89,6.51
2023-05-01,6.73,13.32,12.77,6.02,6.26,10.26,12.99,8.34,19.95,6.54,9.65,3.7,8.51,16.72,7.14,10.48,7.79,11.68,12.0,7.82
2023-06-01,6.47,13.34,7.14,6.92,5.76,13.05,12.0,7.82,20.05,5.5,9.64,9.38,7.76,17.07,6.9,8.18,7.88,5.74,3.7,6.98
2023-07-01,5.86,14.62,3.51,8.0,5.09,13.2,12.48,7.04,21.38,9.09,10.18,6.06,7.78,16.16,3.23,8.0,7.48,10.04,6.9,6.38
2023-08-01,8.26,15.96,7.02,7.67,6.21,15.12,14.55,7.29,21.86,9.57,10.73,6.06,7.85,17.45,2.94,9.85,7.13,9.92,7.02,7.66
2023-09-01,8.26,15.85,5.0,9.17,6.95,16.69,15.35,7.89,22.42,8.94,10.63,2.63,6.25,16.83,2.56,10.57,7.28,9.41,10.34,9.65
2023-10-01,8.63,15.97,4.48,9.12,6.86,15.57,14.99,8.74,23.86,10.77,11.56,6.82,7.32,16.82,5.0,10.0,7.15,9.13,9.84,8.74
2023-11-01,8.9,16.01,6.06,7.84,7.37,15.11,14.79,8.21,23.03,11.36,11.49,4.17,7.32,17.22,5.71,10.44,5.54,8.42,4.69,8.61
2023-12-01,9.07,15.12,4.55,7.73,6.31,16.15,16.33,8.65,23.56,13.19,11.68,5.77,8.33,18.28,5.26,10.26,9.19,9.54,7.35,8.4
2024-01-01,8.47,15.29,10.96,8.85,6.75,17.48,16.46,9.28,24.53,11.64,12.13,5.0,9.74,19.99,13.51,11.26,8.48,8.61,4.17,11.68
2024-02-01,10.7,14.88,5.41,8.67,8.28,16.93,17.6,8.65,25.55,9.8,12.56,4.76,10.13,20.33,7.14,12.62,8.05,9.75,6.85,11.0
2024-03-01,10.22,17.3,7.14,9.22,7.96,17.49,19.07,10.57,27.89,11.69,13.87,10.29,10.59,21.58,13.04,12.33,9.87,13.86,12.82,11.36
2024-04-01,10.74,16.19,6.82,8.82,8.61,17.63,19.2,10.58,28.16,11.11,13.23,5.48,11.69,21.68,5.77,13.14,9.74,12.03,10.84,11.87
2024-05-01,10.1,18.27,5.26,9.91,10.02,20.08,19.83,12.29,30.37,11.05,15.03,8.64,12.83,22.7,11.11,14.31,11.07,14.13,11.36,12.8
2024-06-01,9.94,16.97,7.92,8.82,10.34,20.08,21.1,11.5,28.71,9.6,14.3,8.24,11.58,23.01,6.35,14.42,10.75,14.58,12.5,12.69
2024-07-01,9.49,19.02,6.6,9.49,10.05,21.31,22.98,11.74,31.05,13.41,16.09,12.22,13.12,24.85,9.38,13.69,12.2,12.93,10.11,14.08
2024-08-01,9.8,18.87,7.76,10.89,11.34,22.28,25.27,13.18,33.42,13.68,17.56,6.19,12.85,26.63,11.59,16.42,10.67,13.79,8.51,14.31
2024-09-01,11.65,19.09,9.4,10.42,11.07,23.59,23.61,12.63,34.42,17.62,16.95,3.81,13.61,27.73,13.7,14.93,12.38,15.19,11.58,14.45
2024-10-01,12.21,20.56,9.52,12.12,12.75,25.9,25.61,13.39,35.41,17.65,19.43,8.55,15.62,28.63,13.75,16.93,13.7,13.91,11.88,15.7
2024-11-01,11.82,21.36,13.28,12.93,11.4,23.75,25.33,13.88,34.65,16.99,19.24,8.47,15.11,29.74,12.2,16.54,13.51,13.82,12.04,15.84
2024-12-01,12.74,21.4,11.11,12.95,13.06,25.43,27.56,14.69,37.47,20.39,20.12,9.17,16.81,30.77,13.19,17.56,15.15,16.84,13.27,17.8
2025-01-01,13.55,24.82,15.33,14.97,15.02,27.81,31.18,17.39,39.37,21.27,22.68,13.08,18.69,34.27,16.33,20.63,16.36,16.87,18.85,21.23
2025-02-01,13.97,26.32,15.97,15.83,14.97,27.75,34.72,17.14,42.26,25.54,24.41,10.61,18.97,35.95,15.74,20.21,16.55,19.61,22.73,21.08
2025-03-01,17.57,33.4,17.76,21.51,19.39,37.07,46.46,22.3,61.15,29.72,31.77,18.92,22.5,48.5,18.1,25.61,23.29,26.52,27.97,26.25
2025-04-01,19.94,37.95,20.25,26.24,22.59,40.73,54.53,25.6,68.68,40.0,36.49,25.68,25.5,53.59,23.58,30.72,31.66,32.68,35.29,31.87
2025-05-01,20.23,39.68,23.84,26.95,24.9,42.8,56.23,27.34,70.56,39.63,39.32,29.14,27.6,55.42,20.15,31.66,32.92,32.32,38.36,33.55
2025-06-01,20.89,39.63,20.93,27.31,25.04,41.94,56.45,28.06,69.87,38.75,39.83,24.84,27.02,55.68,20.45,33.65,32.12,32.17,37.5,33.55
